code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1993-1998-04,1993/04 - 1998/04,1995-10-30 00:11:46.640625,6,-0.044,-0.037,-1.8037749212235212
1993-1998-04,1993/04 - 1998/04,1995-10-30 00:11:46.640625,7,0.138,0.138,1.4970681108534336
1993-1998-04,1993/04 - 1998/04,1995-10-30 00:11:46.640625,all,0.041,0.045,0.27829297515563667
1993-1998-05,1993/05 - 1998/05,1995-11-28 23:51:33.750000,1,0.034,0.054,0.18250654585426673
1993-1998-05,1993/05 - 1998/05,1995-11-28 23:51:33.750000,2,0.052,0.069,-1.2093060538172722
1993-1998-05,1993/05 - 1998/05,1995-11-28 23:51:33.750000,3,0.032,0.035,0.744072787463665
1993-1998-05,1993/05 - 1998/05,1995-11-28 23:51:33.750000,4,0.046,0.053,0.8409623801708221
1993-1998-05,1993/05 - 1998/05,1995-11-28 23:51:33.750000,5,0.008,0.013,-0.48615143494680524
1993-1998-05,1993/05 - 1998/05,1995-11-28 23:51:33.750000,6,-0.044,-0.03,-1.8474207017570734
1993-1998-05,1993/05 - 1998/05,1995-11-28 23:51:33.750000,7,0.138,0.138,1.634966779500246
1993-1998-05,1993/05 - 1998/05,1995-11-28 23:51:33.750000,all,0.041,0.048,0.31944982591085136
1993-1998-06,1993/06 - 1998/06,1995-12-30 00:07:01.875000,1,0.085,0.064,0.24187463655835018
1993-1998-06,1993/06 - 1998/06,1995-12-30 00:07:01.875000,2,0.095,0.078,-1.1360609885305166
1993-1998-06,1993/06 - 1998/06,1995-12-30 00:07:01.875000,3,0.04,0.037,0.7801181972026825
1993-1998-06,1993/06 - 1998/06,1995-12-30 00:07:01.875000,4,0.062,0.056,0.8953193742781878
1993-1998-06,1993/06 - 1998/06,1995-12-30 00:07:01.875000,5,0.022,0.016,-0.47132860217243433
1993-1998-06,1993/06 - 1998/06,1995-12-30 00:07:01.875000,6,-0.01,-0.024,-1.8742826408706605
1993-1998-06,1993/06 - 1998/06,1995-12-30 00:07:01.875000,7,0.137,0.137,1.7724814675748348
1993-1998-06,1993/06 - 1998/06,1995-12-30 00:07:01.875000,all,0.059,0.052,0.3697614229749888
1993-1998-07,1993/07 - 1998/07,1996-01-28 23:46:48.984375,1,0.085,0.075,0.32664910092717037
1993-1998-07,1993/07 - 1998/07,1996-01-28 23:46:48.984375,2,0.095,0.086,-1.0415104534476995
1993-1998-07,1993/07 - 1998/07,1996-01-28 23:46:48.984375,3,0.04,0.038,0.8200235441327095
1993-1998-07,1993/07 - 1998/07,1996-01-28 23:46:48.984375,4,0.062,0.059,0.9577188175171614
1993-1998-07,1993/07 - 1998/07,1996-01-28 23:46:48.984375,5,0.022,0.019,-0.4497788632288575
1993-1998-07,1993/07 - 1998/07,1996-01-28 23:46:48.984375,6,-0.01,-0.017,-1.8843607385642827
1993-1998-07,1993/07 - 1998/07,1996-01-28 23:46:48.984375,7,0.137,0.137,1.9096121750772
1993-1998-07,1993/07 - 1998/07,1996-01-28 23:46:48.984375,all,0.059,0.056,0.42922776634804904
1993-1998-08,1993/08 - 1998/08,1996-02-29 00:02:17.109375,1,0.085,0.085,0.41142356529599056
1993-1998-08,1993/08 - 1998/08,1996-02-29 00:02:17.109375,2,0.095,0.095,-0.9469599183648825
1993-1998-08,1993/08 - 1998/08,1996-02-29 00:02:17.109375,3,0.04,0.04,0.8599288910627365
1993-1998-08,1993/08 - 1998/08,1996-02-29 00:02:17.109375,4,0.062,0.062,1.020118260756135
1993-1998-08,1993/08 - 1998/08,1996-02-29 00:02:17.109375,5,0.022,0.022,-0.4282291242852807
1993-1998-08,1993/08 - 1998/08,1996-02-29 00:02:17.109375,6,-0.01,-0.01,-1.8944388362579048
1993-1998-08,1993/08 - 1998/08,1996-02-29 00:02:17.109375,7,0.137,0.137,2.046742882579565
1993-1998-08,1993/08 - 1998/08,1996-02-29 00:02:17.109375,all,0.059,0.059,0.48869410972110927
1993-1998-09,1993/09 - 1998/09,1996-03-31 00:17:45.234375,1,0.085,0.086,0.49619802966481075
1993-1998-09,1993/09 - 1998/09,1996-03-31 00:17:45.234375,2,0.095,0.102,-0.8524093832820654
