code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,10,-0.034,-0.034,-0.29441363364458084
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,11,-0.068,-0.064,-0.5601960830390453
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,12,-0.063,-0.06,-0.5820511840283871
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,13,-0.064,-0.065,-0.5538828670978546
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,14,-0.047,-0.042,-0.4405815862119198
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,15,-0.206,-0.226,-1.5326039716601372
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,16,-0.223,-0.174,-1.710326261818409
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,17,-0.184,-0.169,-1.5965374559164047
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,18,-0.045,-0.046,-0.3345419876277447
1992-1997-03,1992/03 - 1997/03,1994-09-29 00:56:44.882812,all,-0.053,-0.052,-0.4475699830800295
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,1,-0.151,-0.158,-1.573954239487648
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,2,-0.07,-0.062,-0.49930507875978947
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,3,-0.032,-0.034,-0.3356333337724209
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,4,-0.026,-0.027,-0.28308716230094433
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,5,-0.044,-0.046,-0.47189509496092796
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,6,-0.055,-0.056,-0.5547166559845209
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,7,-0.044,-0.046,-0.4374103546142578
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,8,-0.042,-0.042,-0.41542062535881996
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,9,-0.1,-0.101,-0.8694266006350517
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,10,-0.033,-0.035,-0.32790559716522694
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,11,-0.058,-0.062,-0.6230497807264328
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,12,-0.056,-0.059,-0.6418173760175705
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,13,-0.07,-0.066,-0.6207051537930965
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,14,-0.036,-0.04,-0.48208694346249104
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,15,-0.245,-0.237,-1.7580347582697868
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,16,-0.106,-0.148,-1.8750151060521603
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,17,-0.151,-0.162,-1.7637972235679626
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,18,-0.047,-0.047,-0.3802082147449255
1992-1997-04,1992/04 - 1997/04,1994-10-30 00:09:03.164062,all,-0.05,-0.051,-0.49912073463201523
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,1,-0.156,-0.157,-1.7275241017341614
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,2,-0.065,-0.064,-0.5669638533145189
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,3,-0.033,-0.033,-0.36820186488330364
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,4,-0.025,-0.026,-0.3085590712726116
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,5,-0.044,-0.045,-0.5159992314875126
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,6,-0.053,-0.055,-0.6090641617774963
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,7,-0.046,-0.046,-0.48263003304600716
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,8,-0.04,-0.041,-0.4561778996139765
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,9,-0.108,-0.104,-0.9731398299336433
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,10,-0.036,-0.035,-0.3625657130032778
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,11,-0.059,-0.061,-0.6816006619483232
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,12,-0.055,-0.057,-0.6974054928869009
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,13,-0.066,-0.066,-0.6885652244091034
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,14,-0.034,-0.037,-0.5173098836094141
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,15,-0.265,-0.249,-2.0128317028284073
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,16,-0.093,-0.122,-1.9747672192752361
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,17,-0.146,-0.154,-1.9120925590395927
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,18,-0.05,-0.048,-0.4283879790455103
1992-1997-05,1992/05 - 1997/05,1994-11-28 23:43:39.140625,all,-0.05,-0.051,-0.548964012414217
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,1,-0.156,-0.155,-1.8832253068685532
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,2,-0.065,-0.066,-0.6323853228241205
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,3,-0.033,-0.033,-0.4010139498859644
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,4,-0.025,-0.025,-0.3339914008975029
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,5,-0.044,-0.044,-0.5597217902541161
1992-1997-06,1992/06 - 1997/06,1994-12-29 23:55:57.421875,6,-0.053,-0.054,-0.6625317484140396
