code,period,midpoint,basin,SEC
199208-199708,1992/08 - 1997/08,1995.1608,2,-0.06542146950960159
199208-199708,1992/08 - 1997/08,1995.1608,3,-0.03281208500266075
199208-199708,1992/08 - 1997/08,1995.1608,4,-0.02543232962489128
199208-199708,1992/08 - 1997/08,1995.1608,5,-0.04372255876660347
199208-199708,1992/08 - 1997/08,1995.1608,6,-0.053467586636543274
199208-199708,1992/08 - 1997/08,1995.1608,7,-0.04627159982919693
199208-199708,1992/08 - 1997/08,1995.1608,8,-0.039609141647815704
199208-199708,1992/08 - 1997/08,1995.1608,9,-0.10753022879362106
199208-199708,1992/08 - 1997/08,1995.1608,10,-0.0362807996571064
199208-199708,1992/08 - 1997/08,1995.1608,11,-0.05902695283293724
199208-199708,1992/08 - 1997/08,1995.1608,12,-0.05502145364880562
199208-199708,1992/08 - 1997/08,1995.1608,13,-0.06583156436681747
199208-199708,1992/08 - 1997/08,1995.1608,14,-0.034232962876558304
199208-199708,1992/08 - 1997/08,1995.1608,15,-0.2650824785232544
199208-199708,1992/08 - 1997/08,1995.1608,16,-0.09333191066980362
199208-199708,1992/08 - 1997/08,1995.1608,17,-0.1456678807735443
199208-199708,1992/08 - 1997/08,1995.1608,18,-0.049687840044498444
199208-199708,1992/08 - 1997/08,1995.1608,all,-0.04985239
199209-199709,1992/09 - 1997/09,1995.2456,0,-0.13173076510429382
199209-199709,1992/09 - 1997/09,1995.2456,1,-0.1203298345208168
199209-199709,1992/09 - 1997/09,1995.2456,2,-0.025178775191307068
199209-199709,1992/09 - 1997/09,1995.2456,3,-0.0217742957174778
199209-199709,1992/09 - 1997/09,1995.2456,4,-0.010639176703989506
199209-199709,1992/09 - 1997/09,1995.2456,5,-0.029862934723496437
199209-199709,1992/09 - 1997/09,1995.2456,6,-0.0337696298956871
199209-199709,1992/09 - 1997/09,1995.2456,7,-0.026257965713739395
199209-199709,1992/09 - 1997/09,1995.2456,8,-0.026176348328590393
199209-199709,1992/09 - 1997/09,1995.2456,9,-0.10854678601026535
199209-199709,1992/09 - 1997/09,1995.2456,10,-0.015392051078379154
199209-199709,1992/09 - 1997/09,1995.2456,11,-0.03358229994773865
199209-199709,1992/09 - 1997/09,1995.2456,12,-0.031212525442242622
199209-199709,1992/09 - 1997/09,1995.2456,13,-0.029390202835202217
